7,7,-1
6,6,1
6,7,-1
5,7,1
7,5,-1
7,6,1
8,6,-1
9,7,1
9,5,-1
6,8,1
8,5,-1
6,5,1
8,7,-1
8,8,1
7,9,-1
10,5,1
8,4,-1
8,3,1
10,4,-1
11,3,1
9,4,-1
7,4,1
9,2,-1
9,3,1
10,3,-1
11,4,1
11,2,-1
12,1,1
10,2,-1
8,2,1
13,2,-1
12,2,1
10,1,-1
10,0,1
13,4,-1
12,3,1
12,4,-1
7,8,1
5,8,-1
9,8,1
10,8,-1
11,7,1
13,3,-1
13,1,1
13,5,-1
13,6,1
6,2,-1
7,3,1
6,3,-1
5,5,1
6,4,-1
9,10,1
9,9,-1
8,9,1
11,6,-1
10,11,1
11,12,-1
6,11,1
7,10,-1
8,11,1
4,7,-1
8,10,1
8,12,-1
7,12,1
10,9,-1
4,9,1
5,10,-1
5,11,1
7,11,-1
6,10,1
6,13,-1
6,9,1
5,3,-1
6,12,1
