7,7,-1
8,8,1
6,8,-1
8,6,1
8,7,-1
9,7,1
7,9,-1
7,5,1
10,8,-1
6,4,1
5,3,-1
5,7,1
6,6,-1
6,9,1
7,10,-1
7,8,1
5,5,-1
4,4,1
5,4,-1
5,2,1
6,5,-1
7,6,1
4,3,-1
6,3,1
3,2,-1
2,1,1
4,1,-1
2,3,1
2,2,-1
5,6,1
3,4,-1
8,9,1
6,7,-1
3,3,1
9,9,-1
8,10,1
8,11,-1
4,2,1
1,5,-1
3,1,1
7,12,-1
10,9,1
7,11,-1
7,13,1
9,11,-1
6,11,1
9,12,-1
9,10,1
6,12,-1
8,12,1
10,11,-1
11,11,1
11,10,-1
8,13,1
10,13,-1
11,14,1
5,13,-1
13,8,1
13,9,-1
10,10,1
1,3,-1
1,4,1
3,5,-1
4,5,1
3,7,-1
3,8,1
2,6,-1
4,8,1
2,8,-1
4,7,1
4,6,-1
1,9,1
2,5,-1
1,6,1
2,7,-1
2,9,1
2,4,-1
